DomainName,ProductionIP,DR_IP
dns1.abhinav.co.in,10.0.0.50,192.168.70.50
dns2.abhinav.co.in,10.0.0.51,192.168.70.51
dns2.abhinav.co.in,10.0.0.51,192.168.70.51
dns3.abhinav.co.in,10.0.0.52,192.168.70.52
dns4.abhinav.co.in,10.0.0.53,192.168.70.53
dns5.abhinav.co.in,10.0.0.54,192.168.70.54
dns6.abhinav.co.in,10.0.0.55,192.168.70.55
dns7.abhinav.co.in,10.0.0.56,192.168.70.56
dns8.abhinav.co.in,10.0.0.57,192.168.70.57
dns9.abhinav.co.in,10.0.0.58,192.168.70.58
dns10.abhinav.co.in,10.0.0.59,192.168.70.59
dns11.abhinav.co.in,10.0.0.60,192.168.70.60
dns12.abhinav.co.in,10.0.0.61,192.168.70.61
dns13.abhinav.co.in,10.0.0.62,192.168.70.62
dns14.abhinav.co.in,10.0.0.63,192.168.70.63
dns15.abhinav.co.in,10.0.0.64,192.168.70.64
dns16.abhinav.co.in,10.0.0.65,192.168.70.65
dns17.abhinav.co.in,10.0.0.66,192.168.70.66
dns18.abhinav.co.in,10.0.0.67,192.168.70.67
dns19.abhinav.co.in,10.0.0.68,192.168.70.68
dns20.abhinav.co.in,10.0.0.69,192.168.70.69
dns21.abhinav.co.in,10.0.0.70,192.168.70.70
dns22.abhinav.co.in,10.0.0.71,192.168.70.71
dns23.abhinav.co.in,10.0.0.72,192.168.70.72
dns24.abhinav.co.in,10.0.0.73,192.168.70.73
dns25.abhinav.co.in,10.0.0.74,192.168.70.74
dns26.abhinav.co.in,10.0.0.75,192.168.70.75
dns27.abhinav.co.in,10.0.0.76,192.168.70.76
dns28.abhinav.co.in,10.0.0.77,192.168.70.77
dns29.abhinav.co.in,10.0.0.78,192.168.70.78
dns30.abhinav.co.in,10.0.0.79,192.168.70.79
dns31.abhinav.co.in,10.0.0.80,192.168.70.80
dns32.abhinav.co.in,10.0.0.81,192.168.70.81
dns33.abhinav.co.in,10.0.0.82,192.168.70.82
dns34.abhinav.co.in,10.0.0.83,192.168.70.83
dns35.abhinav.co.in,10.0.0.84,192.168.70.84
dns36.abhinav.co.in,10.0.0.85,192.168.70.85
dns37.abhinav.co.in,10.0.0.86,192.168.70.86
dns38.abhinav.co.in,10.0.0.87,192.168.70.87
dns39.abhinav.co.in,10.0.0.88,192.168.70.88
dns40.abhinav.co.in,10.0.0.89,192.168.70.89
dns41.abhinav.co.in,10.0.0.90,192.168.70.90
dns42.abhinav.co.in,10.0.0.91,192.168.70.91
dns43.abhinav.co.in,10.0.0.92,192.168.70.92
dns44.abhinav.co.in,10.0.0.93,192.168.70.93
dns45.abhinav.co.in,10.0.0.94,192.168.70.94
dns46.abhinav.co.in,10.0.0.95,192.168.70.95
dns47.abhinav.co.in,10.0.0.96,192.168.70.96
dns48.abhinav.co.in,10.0.0.97,192.168.70.97
dns49.abhinav.co.in,10.0.0.98,192.168.70.98
dns50.abhinav.co.in,10.0.0.99,192.168.70.99
dns51.abhinav.co.in,10.0.0.100,192.168.70.100
dns52.abhinav.co.in,10.0.0.101,192.168.70.101
dns53.abhinav.co.in,10.0.0.102,192.168.70.102
dns54.abhinav.co.in,10.0.0.103,192.168.70.103
dns55.abhinav.co.in,10.0.0.104,192.168.70.104
dns56.abhinav.co.in,10.0.0.105,192.168.70.105
dns57.abhinav.co.in,10.0.0.106,192.168.70.106
dns58.abhinav.co.in,10.0.0.107,192.168.70.107
dns59.abhinav.co.in,10.0.0.108,192.168.70.108
dns60.abhinav.co.in,10.0.0.109,192.168.70.109
dns61.abhinav.co.in,10.0.0.110,192.168.70.110
dns62.abhinav.co.in,10.0.0.111,192.168.70.111
dns63.abhinav.co.in,10.0.0.112,192.168.70.112
dns64.abhinav.co.in,10.0.0.113,192.168.70.113
dns65.abhinav.co.in,10.0.0.114,192.168.70.114
dns66.abhinav.co.in,10.0.0.115,192.168.70.115
dns67.abhinav.co.in,10.0.0.116,192.168.70.116
dns68.abhinav.co.in,10.0.0.117,192.168.70.117
dns69.abhinav.co.in,10.0.0.118,192.168.70.118
dns70.abhinav.co.in,10.0.0.119,192.168.70.119
dns71.abhinav.co.in,10.0.0.120,192.168.70.120
dns72.abhinav.co.in,10.0.0.121,192.168.70.121
dns73.abhinav.co.in,10.0.0.122,192.168.70.122
dns74.abhinav.co.in,10.0.0.123,192.168.70.123
dns75.abhinav.co.in,10.0.0.124,192.168.70.124
dns76.abhinav.co.in,10.0.0.125,192.168.70.125
dns77.abhinav.co.in,10.0.0.126,192.168.70.126
dns78.abhinav.co.in,10.0.0.127,192.168.70.127
dns79.abhinav.co.in,10.0.0.128,192.168.70.128
