"FQDN","Old_IP","New_IP","Change_DateTime","Changed_By"
"dns2.abhinav.co.in","10.0.0.51","192.168.70.51","08-Jun-2026 20:51:54","Abhinav Shukla"
"dns3.abhinav.co.in","10.0.0.52","192.168.70.52","08-Jun-2026 20:51:54","Abhinav Shukla"
"dns4.abhinav.co.in","10.0.0.53","192.168.70.53","08-Jun-2026 20:51:55","Abhinav Shukla"
"dns5.abhinav.co.in","10.0.0.54","192.168.70.54","08-Jun-2026 20:51:55","Abhinav Shukla"
"dns6.abhinav.co.in","10.0.0.55","192.168.70.55","08-Jun-2026 20:51:55","Abhinav Shukla"
"dns7.abhinav.co.in","10.0.0.56","192.168.70.56","08-Jun-2026 20:51:55","Abhinav Shukla"
"dns8.abhinav.co.in","10.0.0.57","192.168.70.57","08-Jun-2026 20:51:56","Abhinav Shukla"
"dns9.abhinav.co.in","10.0.0.58","192.168.70.58","08-Jun-2026 20:51:56","Abhinav Shukla"
"dns10.abhinav.co.in","10.0.0.59","192.168.70.59","08-Jun-2026 20:51:57","Abhinav Shukla"
"dns11.abhinav.co.in","10.0.0.60","192.168.70.60","08-Jun-2026 20:51:57","Abhinav Shukla"
"dns12.abhinav.co.in","10.0.0.61","192.168.70.61","08-Jun-2026 20:51:57","Abhinav Shukla"
"dns13.abhinav.co.in","10.0.0.62","192.168.70.62","08-Jun-2026 20:51:58","Abhinav Shukla"
"dns14.abhinav.co.in","10.0.0.63","192.168.70.63","08-Jun-2026 20:51:58","Abhinav Shukla"
"dns15.abhinav.co.in","10.0.0.64","192.168.70.64","08-Jun-2026 20:51:58","Abhinav Shukla"
"dns16.abhinav.co.in","10.0.0.65","192.168.70.65","08-Jun-2026 20:51:59","Abhinav Shukla"
"dns17.abhinav.co.in","10.0.0.66","192.168.70.66","08-Jun-2026 20:51:59","Abhinav Shukla"
"dns18.abhinav.co.in","10.0.0.67","192.168.70.67","08-Jun-2026 20:51:59","Abhinav Shukla"
"dns19.abhinav.co.in","10.0.0.68","192.168.70.68","08-Jun-2026 20:52:00","Abhinav Shukla"
"dns20.abhinav.co.in","10.0.0.69","192.168.70.69","08-Jun-2026 20:52:00","Abhinav Shukla"
"dns21.abhinav.co.in","10.0.0.70","192.168.70.70","08-Jun-2026 20:52:01","Abhinav Shukla"
"dns22.abhinav.co.in","10.0.0.71","192.168.70.71","08-Jun-2026 20:52:01","Abhinav Shukla"
"dns23.abhinav.co.in","10.0.0.72","192.168.70.72","08-Jun-2026 20:52:01","Abhinav Shukla"
"dns24.abhinav.co.in","10.0.0.73","192.168.70.73","08-Jun-2026 20:52:02","Abhinav Shukla"
"dns25.abhinav.co.in","10.0.0.74","192.168.70.74","08-Jun-2026 20:52:02","Abhinav Shukla"
"dns26.abhinav.co.in","10.0.0.75","192.168.70.75","08-Jun-2026 20:52:03","Abhinav Shukla"
"dns27.abhinav.co.in","10.0.0.76","192.168.70.76","08-Jun-2026 20:52:03","Abhinav Shukla"
"dns28.abhinav.co.in","10.0.0.77","192.168.70.77","08-Jun-2026 20:52:04","Abhinav Shukla"
"dns29.abhinav.co.in","10.0.0.78","192.168.70.78","08-Jun-2026 20:52:04","Abhinav Shukla"
"dns30.abhinav.co.in","10.0.0.79","192.168.70.79","08-Jun-2026 20:52:05","Abhinav Shukla"
"dns31.abhinav.co.in","10.0.0.80","192.168.70.80","08-Jun-2026 20:52:05","Abhinav Shukla"
"dns32.abhinav.co.in","10.0.0.81","192.168.70.81","08-Jun-2026 20:52:06","Abhinav Shukla"
"dns33.abhinav.co.in","10.0.0.82","192.168.70.82","08-Jun-2026 20:52:06","Abhinav Shukla"
"dns34.abhinav.co.in","10.0.0.83","192.168.70.83","08-Jun-2026 20:52:07","Abhinav Shukla"
"dns35.abhinav.co.in","10.0.0.84","192.168.70.84","08-Jun-2026 20:52:07","Abhinav Shukla"
"dns36.abhinav.co.in","10.0.0.85","192.168.70.85","08-Jun-2026 20:52:07","Abhinav Shukla"
"dns37.abhinav.co.in","10.0.0.86","192.168.70.86","08-Jun-2026 20:52:07","Abhinav Shukla"
"dns38.abhinav.co.in","10.0.0.87","192.168.70.87","08-Jun-2026 20:52:08","Abhinav Shukla"
"dns39.abhinav.co.in","10.0.0.88","192.168.70.88","08-Jun-2026 20:52:08","Abhinav Shukla"
"dns40.abhinav.co.in","10.0.0.89","192.168.70.89","08-Jun-2026 20:52:09","Abhinav Shukla"
"dns41.abhinav.co.in","10.0.0.90","192.168.70.90","08-Jun-2026 20:52:09","Abhinav Shukla"
"dns42.abhinav.co.in","10.0.0.91","192.168.70.91","08-Jun-2026 20:52:10","Abhinav Shukla"
"dns43.abhinav.co.in","10.0.0.92","192.168.70.92","08-Jun-2026 20:52:10","Abhinav Shukla"
"dns44.abhinav.co.in","10.0.0.93","192.168.70.93","08-Jun-2026 20:52:11","Abhinav Shukla"
"dns45.abhinav.co.in","10.0.0.94","192.168.70.94","08-Jun-2026 20:52:11","Abhinav Shukla"
"dns46.abhinav.co.in","10.0.0.95","192.168.70.95","08-Jun-2026 20:52:12","Abhinav Shukla"
"dns47.abhinav.co.in","10.0.0.96","192.168.70.96","08-Jun-2026 20:52:12","Abhinav Shukla"
"dns48.abhinav.co.in","10.0.0.97","192.168.70.97","08-Jun-2026 20:52:12","Abhinav Shukla"
"dns49.abhinav.co.in","10.0.0.98","192.168.70.98","08-Jun-2026 20:52:13","Abhinav Shukla"
"dns50.abhinav.co.in","10.0.0.99","192.168.70.99","08-Jun-2026 20:52:13","Abhinav Shukla"
"dns51.abhinav.co.in","10.0.0.100","192.168.70.100","08-Jun-2026 20:52:14","Abhinav Shukla"
"dns52.abhinav.co.in","10.0.0.101","192.168.70.101","08-Jun-2026 20:52:14","Abhinav Shukla"
"dns53.abhinav.co.in","10.0.0.102","192.168.70.102","08-Jun-2026 20:52:15","Abhinav Shukla"
"dns54.abhinav.co.in","10.0.0.103","192.168.70.103","08-Jun-2026 20:52:15","Abhinav Shukla"
"dns55.abhinav.co.in","10.0.0.104","192.168.70.104","08-Jun-2026 20:52:16","Abhinav Shukla"
"dns56.abhinav.co.in","10.0.0.105","192.168.70.105","08-Jun-2026 20:52:16","Abhinav Shukla"
"dns57.abhinav.co.in","10.0.0.106","192.168.70.106","08-Jun-2026 20:52:16","Abhinav Shukla"
"dns58.abhinav.co.in","10.0.0.107","192.168.70.107","08-Jun-2026 20:52:17","Abhinav Shukla"
"dns59.abhinav.co.in","10.0.0.108","192.168.70.108","08-Jun-2026 20:52:17","Abhinav Shukla"
"dns60.abhinav.co.in","10.0.0.109","192.168.70.109","08-Jun-2026 20:52:18","Abhinav Shukla"
"dns61.abhinav.co.in","10.0.0.110","192.168.70.110","08-Jun-2026 20:52:18","Abhinav Shukla"
"dns62.abhinav.co.in","10.0.0.111","192.168.70.111","08-Jun-2026 20:52:19","Abhinav Shukla"
"dns63.abhinav.co.in","10.0.0.112","192.168.70.112","08-Jun-2026 20:52:19","Abhinav Shukla"
"dns64.abhinav.co.in","10.0.0.113","192.168.70.113","08-Jun-2026 20:52:20","Abhinav Shukla"
"dns65.abhinav.co.in","10.0.0.114","192.168.70.114","08-Jun-2026 20:52:20","Abhinav Shukla"
"dns66.abhinav.co.in","10.0.0.115","192.168.70.115","08-Jun-2026 20:52:21","Abhinav Shukla"
"dns67.abhinav.co.in","10.0.0.116","192.168.70.116","08-Jun-2026 20:52:21","Abhinav Shukla"
"dns68.abhinav.co.in","10.0.0.117","192.168.70.117","08-Jun-2026 20:52:21","Abhinav Shukla"
"dns69.abhinav.co.in","10.0.0.118","192.168.70.118","08-Jun-2026 20:52:22","Abhinav Shukla"
"dns70.abhinav.co.in","10.0.0.119","192.168.70.119","08-Jun-2026 20:52:22","Abhinav Shukla"
